yil,isletmemudurluk,isletmeseflik,adet,hektar
2017,YILANLI,goktepe,3,1.02
2017,YILANLI,yilanli,1,0.01
2017,YILANLI,muratlar,0,0
2017,YILANLI,senyayla,2,0.11
2017,YILANLI,cakmak,1,0.5
2017,YILANLI,yorukoglu,0,0
2017,YILANLI,namnam,1,0.01
2017,YILANLI,cinar,0,0
2017,YILANLI,kizilkaya,0,0
2017,KAVAKLIDERE,belibol,0,0
2017,KAVAKLIDERE,gokcay,3,0.81
2017,KAVAKLIDERE,kavaklidere,3,0.1
2017,KAVAKLIDERE,mentese,0,0
2017,KAVAKLIDERE,cayboyu,0,0
2017,DALAMAN,bahtiyar,5,0.23
2017,DALAMAN,caldere,6,1.17
2017,DALAMAN,dalaman,14,0.68
2017,DALAMAN,ortaca,4,0.51
2017,DALAMAN,kavacik,0,0
2017,DALAMAN,narli,0,0
2017,SEYDIKEMER,yapraktepe,5,0.5
2017,SEYDIKEMER,kemer,1,0.1
2017,SEYDIKEMER,seki,0,0
2017,SEYDIKEMER,saklikent,6,2.5
2017,SEYDIKEMER,esen,5,1.9
2017,SEYDIKEMER,akcay,5,0.41
2017,SEYDIKEMER,pasali,0,0
2017,SEYDIKEMER,karadere,0,0
2017,SEYDIKEMER,seydikemer,0,0
2018,AYDIN,akcaova,1,0.03
2018,AYDIN,aydin,4,1.61
2018,AYDIN,cine,4,0.64
2018,AYDIN,germencik,2,1.2
2018,AYDIN,karpuzlu,1,0.01
2018,AYDIN,kocarli,1,0.1
2018,AYDIN,kusadasi,3,0.41
2018,AYDIN,soke,1,4
2018,AYDIN,kosk,0,0
2018,AYDIN,madran,0,0
2018,AYDIN,didim,0,0
2018,FETHIYE,esenn,0,0
2018,FETHIYE,fethiye,7,0.4
2018,FETHIYE,gocek,10,1.55
2018,FETHIYE,guneydag,5,0.63
2018,FETHIYE,uzumlu,1,0.15
2018,FETHIYE,caldagi,0,0
2018,FETHIYE,karaculha,0,0
2018,KOYCEGIZ,agla,1,0.1
2018,KOYCEGIZ,akkopru,5,0.5
2018,KOYCEGIZ,beyobasi,13,13.66
2018,KOYCEGIZ,karacam,4,0.4
2018,KOYCEGIZ,koycegiz,2,0.13
2018,KOYCEGIZ,sultaniye,5,1.4
2018,KOYCEGIZ,balcilar,0,0
2018,KOYCEGIZ,cayhisar,0,0
2018,KOYCEGIZ,otmanlar,0,0
2018,MARMARIS,bayir,2,0.04
2018,MARMARIS,cetibeli,6,1.05
2018,MARMARIS,datca,3,3.1
2018,MARMARIS,hisaronu,10,29.43
2018,MARMARIS,marmaris,14,0.36
2018,MARMARIS,emecik,0,0
2018,MARMARIS,karaca,0,0
2018,MILAS,bodrum,4,2.05
2018,MILAS,karacahisar,13,3.17
2018,MILAS,kayadere,3,0.04
2018,MILAS,milas,14,7.96
2018,MILAS,oren,2,0.08
2018,MILAS,saricay,8,3.83
2018,MILAS,selimiye,4,0.42
2018,MILAS,gürcamlar,2,20.33
2018,MILAS,mumcular,8,1.67
2018,MILAS,cökertme,0,0
2018,MILAS,guvercinlik,0,0
2018,MILAS,labranda,0,0
2018,MILAS,bafa,0,0
2018,MILAS,yali,0,0
2018,MUGLA,denizova,2,0.11
2018,MUGLA,gokova,4,0.41
2018,MUGLA,mugla,2,0.91
2018,MUGLA,yaras,5,0.37
2018,MUGLA,yerkesik,0,0
2018,MUGLA,ula,5,1.18
2018,MUGLA,karabortlen,5,2.6
2018,MUGLA,yesilyurt,7,0.56
2018,NAZILLI,bozdogan,5,7.51
2018,NAZILLI,karacasu,3,1.3
2018,NAZILLI,karincalidag,4,34.21
2018,NAZILLI,kemerbaraji,4,1.22
2018,NAZILLI,kuyucak,10,8.12
2018,NAZILLI,nazilli,8,12.6
2018,NAZILLI,saricaova,1,0.3
2018,NAZILLI,yenice,1,0.1
2018,NAZILLI,yenipazar,3,8.1
2018,NAZILLI,bozbey,0,0
2018,NAZILLI,kartal,0,0
2018,NAZILLI,karlik,0,0
2018,NAZILLI,menderes,0,0
2018,NAZILLI,bozyaka,0,0
2018,YATAGAN,bagyaka,4,0.13
2018,YATAGAN,mentescayi,0,0
2018,YATAGAN,turgut,2,0.002
2018,YATAGAN,yatagan,1,0.01
2018,YATAGAN,kavak,0,0
2018,YATAGAN,bencik,0,0
2018,YILANLI,boyali,4,1.03
2018,YILANLI,goktepe,0,0
2018,YILANLI,yilanli,2,0.02
2018,YILANLI,muratlar,3,0.6
2018,YILANLI,senyayla,4,0.08
2018,YILANLI,cakmak,1,0.05
2018,YILANLI,yorukoglu,0,0
2018,YILANLI,namnam,3,1.21
2018,YILANLI,cinar,0,0
2018,YILANLI,kizilkaya,0,0
2018,KAVAKLIDERE,belibol,1,0.01
2018,KAVAKLIDERE,gokcay,1,0.01
2018,KAVAKLIDERE,kavaklidere,2,0.3
2018,KAVAKLIDERE,mentese,0,0
2018,KAVAKLIDERE,cayboyu,0,0
2018,DALAMAN,bahtiyar,17,0.94
2018,DALAMAN,caldere,11,0.2
2018,DALAMAN,dalaman,15,7.52
2018,DALAMAN,ortaca,15,8.11
2018,DALAMAN,kavacik,0,0
2018,DALAMAN,narli,0,0
2018,SEYDIKEMER,yapraktepe,5,0.41
2018,SEYDIKEMER,kemer,1,0.1
2018,SEYDIKEMER,seki,6,0.4
2018,SEYDIKEMER,saklikent,6,16.1
2018,SEYDIKEMER,esen,16,14.53
2018,SEYDIKEMER,akcay,3,0.59
2018,SEYDIKEMER,pasali,0,0
2018,SEYDIKEMER,karadere,0,0
2018,SEYDIKEMER,seydikemer,0,0
2019,AYDIN,akcaova,0,0
2019,AYDIN,aydin,3,0.35
2019,AYDIN,cine,4,3.09
2019,AYDIN,germencik,2,1.2
2019,AYDIN,karpuzlu,0,0
2019,AYDIN,kocarli,2,5.5
2019,AYDIN,kusadasi,0,0
2019,AYDIN,soke,2,1.6
2019,AYDIN,kosk,0,0
2019,AYDIN,madran,0,0
2019,AYDIN,didim,0,0
2019,FETHIYE,esenn,0,0
2019,FETHIYE,fethiye,14,2.67
2019,FETHIYE,gocek,3,2.05
2019,FETHIYE,guneydag,3,2.05
2019,FETHIYE,uzumlu,1,0.1
2019,FETHIYE,caldagi,1,0.1
2019,FETHIYE,karaculha,7,3.87
2019,KOYCEGIZ,agla,2,0.2
2019,KOYCEGIZ,akkopru,1,0.1
2019,KOYCEGIZ,beyobasi,6,1.5
2019,KOYCEGIZ,karacam,10,0.46
2019,KOYCEGIZ,koycegiz,5,1.5
2019,KOYCEGIZ,sultaniye,10,1.9
